Hotel ID,Price,Suggest Selling Price,Checkin,Checkout,Nights,Price per Night,Adults,Children,Median Price per Night,% Off from Median,Total Median Price,Resort,Stars,Distance,Xeni Link,Hotel Name,Amenities,Image URL,URL,Pass
lp656bda2c,"$2,898.32 ","$3,756.89 ",3/23/2026,3/27/2026,4,$724.58 ,2,0,$842.01 ,13.95%,3368.04,Telluride Ski Resort,3,5-10min walk,0,Lulu City 5B by Avantstay Across From Lift #7 10-minute Walk to Downtown,0,https://static.cupid.travel/hotels/ex_8ce21002_z.jpg,https://booking.skizi.co/hotels/lp656bda2c?checkin=2026-03-23&checkout=2026-03-27,EPIC
lpdcb57,"$4,209.01 ","$4,248.72 ",2/3/2026,2/8/2026,5,$841.80 ,2,0,$977.70 ,13.90%,4888.5,Breckenridge Ski Resort,4,5-10 min walk,0,Highlander 324 Townhome with Private Hot Tub,0,https://static.cupid.travel/hotels/ex_3bee1c85_z.jpg,https://booking.skizi.co/hotels/lpdcb57?checkin=2026-02-03&checkout=2026-02-08,EPIC
lp61cbd,"$2,521.19 ","$2,735.27 ",2/1/2026,2/5/2026,4,$630.30 ,2,0,$731.46 ,13.83%,2925.84,Zermatt Ski Resort,3,<5 min walk to lifts,0,Hotel Elite Zermatt,Ski storage,https://static.cupid.travel/hotels/ex_32137453_z.jpg,https://booking.skizi.co/hotels/lp61cbd?checkin=2026-02-01&checkout=2026-02-05,IKON
lp656dc035,"$15,823.95 ","$15,271.61 ",3/26/2026,3/31/2026,5,"$3,164.79 ",2,0,"$3,667.37 ",13.70%,18336.85,Aspen,3,5-10 min walk,0,Two Creeks by Snowmass Vacations,0,https://static.cupid.travel/hotels/ex_343a218e_z.jpg,https://booking.skizi.co/hotels/lp656dc035?checkin=2026-03-26&checkout=2026-03-31,IKON
lp37b6e,"$2,265.88 ","$2,458.28 ",3/22/2026,3/27/2026,5,$453.18 ,2,0,$524.53 ,13.60%,2622.65,Zermatt Ski Resort,3,5-10 min walk,0,Hotel Bella Vista Zermatt,"Pets allowed, Massage, Ski storage",https://static.cupid.travel/hotels/327798180.jpg,https://booking.skizi.co/hotels/lp37b6e?checkin=2026-03-22&checkout=2026-03-27,IKON
lp1fb5c6,"$1,223.22 ","$1,355.94 ",3/22/2026,3/27/2026,5,$244.64 ,2,0,$282.92 ,13.53%,1414.575,Palisades Tahoe,0,5-10 min walk,0,Olympic Village Inn Olympic Valley,"Fitness center, Hot tub/Jacuzzi, Ski storage",https://snaphotelapi.com/hotels/506146911.jpg,https://booking.skizi.co/hotels/lp1fb5c6?checkin=2026-03-22&checkout=2026-03-27,IKON
lp40b87,$729.46 ,$886.37 ,3/22/2026,3/27/2026,5,$145.89 ,2,0,$168.65 ,13.50%,843.25,Heavenly,2,5-10 min walk,0,Ambassador Lake Tahoe,0,https://static.cupid.travel/hotels/hd/ex_e02c7dc9_z.jpg,https://booking.skizi.co/hotels/lp40b87?checkin=2026-03-22&checkout=2026-03-27,EPIC
lp3640c,"$5,034.55 ","$4,882.57 ",2/7/2026,2/11/2026,4,"$1,258.64 ",2,0,"$1,451.80 ",13.30%,5807.2,Vail,4,5-10 min walk,0,The Vail Spa Condominiums,Ski storage,https://static.cupid.travel/hotels/ex_4e7b269d_z.jpg,https://booking.skizi.co/hotels/lp3640c?checkin=2026-02-07&checkout=2026-02-11,EPIC
lp6558355e,"$1,963.26 ","$2,102.17 ",3/23/2026,3/27/2026,4,$490.82 ,2,0,$565.29 ,13.17%,2261.16,Telluride Ski Resort,3,5-10min walk,0,Viking Lodge 103 by Avantstay Stunning Condo w/ Communal Pool,0,https://static.cupid.travel/hotels/ex_c24f9366_z.jpg,https://booking.skizi.co/hotels/lp6558355e?checkin=2026-03-23&checkout=2026-03-27,EPIC
lp655445ec,"$2,933.96 ","$3,183.08 ",2/7/2026,2/12/2026,5,$586.79 ,2,0,$675.56 ,13.14%,3377.8,Zermatt Ski Resort,4,<5 min walk to lifts,0,Monte Rosa Boutique Hotel,"Restaurant, Pets allowed, Hot tub/Jacuzzi, Ski storage",https://static.cupid.travel/hotels/61081098.jpg,https://booking.skizi.co/hotels/lp655445ec?checkin=2026-02-07&checkout=2026-02-12,IKON
lp327eb,"$6,243.10 ","$6,101.75 ",2/1/2026,2/6/2026,5,"$1,248.62 ",2,0,"$1,435.91 ",13.04%,7179.525,Beaver Creek,4,5-10 min walk,0,Park Plaza Beaver Creek,"Hot tub/Jacuzzi, Ski storage",https://static.cupid.travel/hotels/592383701.jpg,https://booking.skizi.co/hotels/lp327eb?checkin=2026-02-01&checkout=2026-02-06,EPIC
lp22669c,"$1,628.08 ","$1,539.00 ",3/15/2026,3/19/2026,4,$407.02 ,2,0,$467.68 ,12.97%,1870.72,Zermatt Ski Resort,4,5-10 min walk,0,Naco Aparthotel & Spa,0,https://static.cupid.travel/hotels/ex_26bd1cc4_z.jpg,https://booking.skizi.co/hotels/lp22669c?checkin=2026-03-15&checkout=2026-03-19,IKON
lp656c94dc,"$3,879.63 ","$4,424.97 ",3/22/2026,3/27/2026,5,$775.93 ,2,0,$890.80 ,12.89%,4453.975,Northstar,4,Ski in/Ski out,0,VIP Ski-In Ski-Out Northstar Ski Trails,0,https://snaphotelapi.com/hotels/ex_916ab7b7_z.jpg,https://booking.skizi.co/hotels/lp656c94dc?checkin=2026-03-22&checkout=2026-03-27,EPIC
lp655863be,"$14,291.83 ","$18,147.93 ",2/8/2026,2/13/2026,5,"$2,858.37 ",2,0,"$3,273.33 ",12.68%,16366.65,Park City,4,5-10 min walk,0,Encore by Avantstayminutes From the Slopes in PC! w/ Hot Tub,0,https://snaphotelapi.com/hotels/ex_2862f035_z.jpg,https://booking.skizi.co/hotels/lp655863be?checkin=2026-02-08&checkout=2026-02-13,EPIC
lp6d248,"$1,100.78 ","$1,047.83 ",2/1/2026,2/5/2026,4,$275.20 ,2,0,$314.69 ,12.55%,1258.76,Sun Peaks Resort,3,5-10 min walk,0,The Pinnacle Lodge,Ski storage,https://static.cupid.travel/hotels/ex_bc637aa6_z.jpg,https://booking.skizi.co/hotels/lp6d248?checkin=2026-02-01&checkout=2026-02-05,"Mountain Collective, IKON"
lp2b37f,$721.76 ,$781.69 ,2/8/2026,2/12/2026,4,$180.44 ,2,0,$206.28 ,12.53%,825.12,Banff Sunshine,4,Shuttle,0,Royal Canadian Lodge,"Restaurant, Hot tub/Jacuzzi, Ski storage",https://static.cupid.travel/hotels/599046660.jpg,https://booking.skizi.co/hotels/lp2b37f?checkin=2026-02-08&checkout=2026-02-12,"Mountain Collective, IKON"
